FIPS,POP,SUM,RATE
21063,7648,0,0
21065,14375,31,215.65
21067,314488,0,0
21069,14637,14,95.65
21071,37756,55,145.67
21073,50375,234,464.52
21075,6238,13,208.4
21077,8636,19,220.01
21079,17237,72,417.71
21081,24757,141,569.54
21083,37421,251,670.75
21085,26221,88,335.61
21087,11010,4,36.33
21089,36068,37,102.58
21091,8692,29,333.64
21093,106439,156,146.56
21095,27703,40,144.39
21097,18763,80,426.37
21099,18454,82,444.35
21101,46407,182,392.18
21103,15620,9,57.62
21105,4612,13,281.87
21107,46222,222,480.29
21109,13352,80,599.16
21111,763623,1,0.13
21113,51961,220,423.39
21115,23175,49,211.43
21117,165012,135,81.81
21119,15693,28,178.42
21121,31730,98,308.86
21123,14241,21,147.46
21125,60094,485,807.07
21127,15745,45,285.81
21129,6752,6,88.86
21131,10711,18,168.05
21133,23123,14,60.55
21135,13682,22,160.8
21137,24463,62,253.44
21139,9316,54,579.65
21141,26910,106,393.91
21143,8306,63,758.49
21145,65018,510,784.4
21147,17878,59,330.01
21149,9512,55,578.22
21151,87824,244,277.83
21153,12808,20,156.15
21155,19365,52,268.53
21157,31101,223,717.02
21159,12307,17,138.13
21161,17099,77,450.32
21163,27924,136,487.04
21165,6358,10,157.28
21167,21407,51,238.24
21169,9909,36,363.31
21171,10667,9,84.37
21173,27608,295,1068.53
21175,13275,16,120.53
21177,31183,80,256.55
21179,45126,235,520.76
21181,7131,2,28.05
21183,24216,135,557.48
21185,64875,480,739.88
21187,10730,30,279.59
21189,4461,16,358.66
21191,14408,64,444.2
21193,27565,59,214.04
21195,61792,35,56.64
21197,12269,8,65.2
21199,63782,345,540.9
21201,2138,8,374.18
21203,16942,43,253.81
21205,23892,73,305.54
21207,17662,66,373.68
21209,52420,169,322.4
21211,45632,262,574.16
21213,18006,42,233.26
21215,17894,43,240.3
21217,25420,161,633.36
21219,12531,46,367.09
21221,14233,104,730.7
21223,8769,11,125.44
21225,15050,38,252.49
21227,122851,576,468.86
21229,12063,49,406.2
21231,20464,43,210.13
21233,13170,21,159.45
21235,36129,185,512.05
21237,7259,18,247.97
21239,25793,14,54.28
22001,62577,623,995.57
22003,25683,19,73.98
22005,119455,1859,1556.23
22007,22842,285,1247.7
22011,36462,259,710.33
22013,13786,279,2023.79
22015,125175,531,424.21
22017,251460,317,126.06
22019,198788,4402,2214.42
22021,9993,245,2451.72
22027,16295,67,411.17
22029,20142,377,1871.71
22031,27052,430,1589.53
22033,446753,7084,1585.66
22035,7307,49,670.59
22037,19696,201,1020.51
22041,20410,201,984.81
22047,33095,541,1634.69
22049,15858,58,365.75
22051,436275,10858,2488.8
22053,31439,96,305.35
22057,98325,2315,2354.44
22061,47774,276,577.72
22063,137788,3498,2538.68
22065,11514,38,330.03
22067,26395,256,969.88
22069,39179,450,1148.57
22073,156761,2937,1873.55
22075,23495,145,617.15
22077,22251,440,1977.44
22079,132141,1838,1390.94
22081,8593,169,1966.72
22083,20523,52,253.37
22085,24186,221,913.75
22089,52812,895,1694.69
22091,10567,191,1807.51
22093,21567,430,1993.79
22095,43626,1058,2425.16
22097,83848,905,1079.33
22099,53835,783,1454.44
22101,52810,684,1295.21
22103,250088,1744,697.35
22105,128755,3038,2359.52
22107,4740,24,506.33
22115,50803,509,1001.91
22117,46371,931,2007.72
22119,40021,172,429.77
22121,25490,630,2471.56
22123,11293,90,796.95
22125,15385,94,610.98
22127,14568,95,652.11
23001,107233,113,105.38
23003,68628,83,120.94
23005,289977,314,108.28
23007,29991,44,146.71
23009,54659,76,139.04
23011,119980,195,162.53
